Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-01-02,Widget C,West,887,30,Male,2.29
2022-01-02,Widget B,West,148,41,Male,2.02
2022-01-02,Widget B,North,827,50,Male,3.59
2022-01-02,Widget B,West,970,36,Male,1.57
2022-01-03,Widget B,South,184,53,Female,2.03
2022-01-04,Widget C,South,659,40,Female,2.88
2022-01-05,Widget D,South,681,50,Female,2.32
2022-01-06,Widget D,East,472,51,Male,2.34
2022-01-10,Widget C,North,298,27,Female,2.84
2022-01-10,Widget C,North,624,31,Female,1.54
2022-01-10,Widget B,South,646,38,Female,4.22
2022-01-11,Widget D,South,106,26,Male,4.94
2022-01-11,Widget A,East,219,60,Male,4.28
2022-01-12,Widget C,East,211,64,Female,4.42
2022-01-12,Widget C,West,306,54,Male,1.41
2022-01-12,Widget A,East,145,33,Male,4.0
2022-01-12,Widget C,West,430,21,Female,1.06
2022-01-14,Widget A,South,592,63,Male,2.08
2022-01-14,Widget D,West,475,26,Female,1.67
2022-01-16,Widget D,West,479,35,Male,4.8
2022-01-17,Widget C,West,856,60,Male,1.3
2022-01-17,Widget B,East,369,39,Female,3.05
2022-01-19,Widget B,North,570,69,Female,2.65
2022-01-20,Widget A,East,521,38,Female,1.8
2022-01-21,Widget D,South,894,34,Male,1.11
2022-01-21,Widget D,South,511,52,Female,4.4
2022-01-22,Widget D,West,431,38,Male,2.97
2022-01-22,Widget A,East,528,32,Male,1.74
2022-01-22,Widget C,East,704,69,Male,1.4
2022-01-23,Widget C,South,614,58,Female,4.5
2022-01-25,Widget B,North,683,54,Male,1.07
2022-01-25,Widget C,North,408,41,Female,1.12
2022-01-28,Widget B,North,674,58,Male,3.46
2022-01-28,Widget C,North,985,41,Male,2.15
2022-01-29,Widget A,West,644,59,Female,4.57
2022-01-29,Widget A,East,213,68,Female,4.27
2022-01-29,Widget B,West,156,38,Male,1.68
2022-02-04,Widget D,East,423,39,Female,1.29
2022-02-04,Widget C,West,172,48,Male,1.92
2022-02-05,Widget D,North,538,56,Female,1.91
2022-02-05,Widget A,West,183,67,Male,3.36
2022-02-05,Widget A,North,354,18,Female,4.65
2022-02-06,Widget A,West,278,48,Male,3.96
2022-02-06,Widget D,West,361,40,Male,2.49
2022-02-07,Widget D,East,320,56,Female,3.45
2022-02-08,Widget D,North,709,26,Female,1.74
2022-02-08,Widget A,South,399,32,Female,3.28
2022-02-08,Widget A,South,284,51,Female,2.12
2022-02-08,Widget C,North,740,59,Female,1.94
2022-02-09,Widget D,East,405,35,Female,4.91
2022-02-10,Widget D,South,831,32,Female,3.09
2022-02-10,Widget B,South,652,61,Male,2.71
2022-02-11,Widget C,West,591,42,Female,3.42
2022-02-12,Widget B,North,275,56,Male,1.69
2022-02-12,Widget B,East,210,64,Male,2.24
2022-02-12,Widget D,North,372,38,Female,4.29
2022-02-16,Widget A,West,350,47,Male,2.32
2022-02-16,Widget C,West,973,48,Male,2.73
2022-02-17,Widget B,East,247,25,Female,4.64
2022-02-19,Widget D,South,797,56,Female,3.1
2022-02-20,Widget A,North,643,45,Male,2.38
2022-02-20,Widget D,South,224,40,Female,4.01
2022-02-20,Widget D,West,436,69,Female,4.49
2022-02-20,Widget B,North,997,46,Female,4.6
2022-02-23,Widget B,South,621,26,Male,4.03
2022-02-24,Widget A,North,349,31,Female,3.17
2022-02-24,Widget A,East,782,37,Female,1.4
2022-02-24,Widget C,East,688,57,Male,3.07
2022-02-25,Widget C,North,637,25,Female,2.12
2022-02-27,Widget C,North,172,38,Male,2.76
2022-03-01,Widget A,East,890,50,Female,4.98
2022-03-02,Widget B,South,519,30,Male,2.81
2022-03-02,Widget B,East,874,55,Female,4.88
2022-03-04,Widget D,West,275,20,Male,4.51
2022-03-04,Widget C,South,238,34,Male,3.75
2022-03-06,Widget D,East,970,22,Male,1.16
2022-03-08,Widget B,East,324,52,Female,1.99
2022-03-08,Widget A,South,436,25,Male,3.13
2022-03-10,Widget C,East,792,65,Male,4.11
2022-03-13,Widget A,East,508,27,Male,1.34
2022-03-14,Widget D,North,646,23,Male,2.36
2022-03-14,Widget A,West,938,56,Female,1.4
2022-03-16,Widget C,South,524,69,Male,2.48
